评论,评分
帮别人买的有没有用过，应该还行叭！,3
收到了货但是不是我喜欢的,3
还好吧，每达你满分的郊果，,3
屏幕音效：好拍照效果：快运行速度：快,3
满意手机很好，服务也很到位,3
不知道该怎么说，先试试看吧。,3
刚买就降价，快递不错，手机也还可以,3
很快就没电，没有华为好,3
外形外观：感觉还好吧！刚开始用还不知道,3
手机有点问题选择退换。服务挺不错的,3
外观还行，接电话有电流声?,3
还可以吧！老婆挺喜欢的，就是送货有点慢，生日过去了，才到,3
玩起来的时候特别烫，其他性能方面都挺好,3
还行吧，手机用了一会发烫拍照效果：像素十分好,3
手机容易发热。目前还好，不知道以后还会不会这样。,3
买的第二部了，挺好用的，就是第一部送了手环，第二部啥玩意都没有送，商家这点诚意都没有了,3
给那二傻子买的不知道好不好用，她非要买，不知道看上哪里了。。,3
货到包装稀烂，手都能直接伸进去了，手机用段时间之后在做评论,3
总是手机还是可以把！！！机身轻！,3
外观设计手感不错，机器使用感觉一般！配送较快。,3
货已收到一礼拜了，就是没收到说的赠品了！,3
说好的备注客服送充电宝也没有，第一次自营店买了五天才到货,2
凑合，声音小，网络信号感觉也不好，运行起来感觉手机好卡,3
质量不咋地有时接电话对方声音滋滋响听不清,2
一般,3
还行,3
618买的，用了明天满两个月再来评价，真的让我很失望，电太不耐用了，早上充满电，上着班还不怎么用手机，到中午2点多就剩下14%的电，差评，请购买者谨慎，特别是爱玩游戏，基本1小时玩不到就玩完,3
外形外观：外观挺好的屏幕音效：一般拍照效果：一般，这是主打自拍机，说的那么夸张，拍照片没他介绍的那么好吧，机子本身带的颜色特深，~红包那颜色都像是橙色了，不是正常手机的那种颜色，总得来说价格真的偏贵了,3
续航不行，机体偏瘦型，好看呢是好看但是不推荐,3
用了一个月感觉运行开始慢了,3
不是很灵活，打字会跳来跳去，外观还是不错的,3
打王者荣耀在准备界面直接卡掉 外观不错,3
待机时间：一般般外形外观：挺好看的拍照效果：有点糊运行速度：还行,3
手机很好！这是第二部了，之前没用过这个牌子用过之后感觉很不错所以又买了一部！,3
