评论,评分
充电慢快递员也不好说话,1
最后经过协商客服给了补偿手机目前没什么问题换货的话时间太长就这样吧,1
不是新机里面有不雅照片客服也很奇葩别从这里买太过份了,1
是真的卡打王者还断触我的天就这还职业电竞手机我服了再多付还不如买华为,1
打游戏发烫严重然后就特别卡掉帧,1
性能非常一般卡顿发热不值这个价格配件有破损不给退换售后服务态度差不给解决问题让顾客平白蒙受损失真差劲买了东西不管是不是坏的你都得自己忍真差劲买电子产品再也不能相信京东了,1
刚拿到第二天就识别不了卡然后就申请换货现在都一个星期了还是售后检测中那么明显的问题你们还要检测那么久现在想退都退不掉了第一次给碰到那么差的服务,1
屏幕太垃圾了在裤袋掉出来外屏就裂了维修还要多,1
手机拆封我还录了视频密封条是开的何者晚这么多天发货在调换这个这就是京东的礼盒么爱了我也懒得找客服了说可以价保还要等有货这东西一直没有货在买了以后第二天就降价但是未出库不能价保开始说好的到后面也不行了,1
手机发热严重发货速度和预计时间不同最重要的是包装的密封条被拆开过,1
这电池掉电太厉害了新手机一天要冲三四次后悔的,1
重来没用过这么垃圾的手机这比网络断流真的牛逼,1
掉电太快了放那待机俩小时掉个电出个门估计还要带着充电器我真是服了,1
买的时候说是送耳机结果到货没有这不是骗人的吗问客服老是回复别的真是无语了,1
手机发热严重在空调屋子里边还经常度左右的真的垃圾失望,1
非常垃圾新手机充电多分钟才过了分钟又掉到盒子也有变形,1
玩吃鸡开帧手机顶部边框烫到你怀疑人生,1
发热严重还动力泵液冷散热简直就是摆设,1
天不到维修两次死机无数次第一次检测没出问题说导致的第二次检测说要更换主板不给退换货说过了时间第一次检修没有过退换货时间也不给退换,1
真的不好真的不好我这买了不到一个周我就发现摄像机花屏我找客服客服避而不谈后来今天俺妈给我发了个电话根本听不见说的啥别买别买,1
产品像翻新机有明显缝隙还给我说是听筒就算是听筒那我第二张图画的两个圆圈是听筒范围吗再看看第三张图就跟翻新机一样,1
大家不要买了这手机垃圾的要死刚买回来屏幕就卡死,1
手机真实不错买就配送的耳机物流都没出来就后台给自动退货了垃圾,1
大家都别在他家购买,1
手机出现问题商家不给解决无良心商家简直不要脸的,1
好差劲边框有缝过了一个月才发现不能换了谁能发现边框有个缝啊,1
超级超级坑购买之前说好赠送数据线跟蓝牙耳机的一次性购买了两台收货后联系客服说只能送一根数据线我谢谢您哦买两台手机送一根数据线我是多么缺您这一根数据线哦超级稀烂,1
我劝大家不要买了刚到手机一天死机两次我都服了听我的谁买谁后悔,1
一晚上待机个小时一觉醒来不见了电真的辣鸡,1
用了不到两个月就应用就闪退电池容量太小有时候突然有点卡不建议买,1
号就换货了号给我发短信说有货然后分给别人让我等到号,1
解释一下手机开始发热严重掉帧卡顿什么情况不要告诉我后台来东西多了我买这个只是玩游戏什么都没干,1
京东手机太垃圾京东二手翻新手机还故意拖延不退款京东出小偷偷拆机还不承认不退款不敢回复不解决联系电话费花了一百多一年多没解决,1
保价是个卵的手机电池耗电快体验感极差劝大家不要购买了就是一坑,1
手机突然没信号打游戏语音卡充电不稳定特别容易发烫充电宝充不进去电,1
非常不好毛病很多,1
刚买到手价格一个星期就降价真是服了还不给保价优惠券不算保价我也在京东购物多年算是老客户了对京东很失望打算劝说亲戚朋友放弃京东,1
挺垃圾的不知道好评怎么来的就玩王者荣耀都发热严重还官方认证,1
透顶刚买两个星期就降价块还不能补差价不想说啥了而且开个视频聊天一会手机烫的可以煎鸡蛋了真的失望,1
