才收到用一段时间再追评,3
外形外观：外观材料看着不舒服,3
打电话有回生，不知道能用多久,3
还可以，应该是正品。用着顺利,3
外形外观：先用着，回头再来,3
收到用了两天了还可以,3
手机还没有用，到时用了再来评价,3
正在使用当中！用后再来追加评论,3
蛮不错的。用段时间再看看,3
入手感觉可以，后期再用用看,3
运行速度只能说一般般！,3
已经购机八天了，赠送的耳机还没送到,3
手机已经收到了，手机收到后赠送的耳机好几天都没送到,3
对的起这个价位，   机身有点厚，其他都挺好,3
用几天才知道好不好，,3
外观还行，以发热，有点重啊！,3
手机挺好，但说了送耳机没送,3
玩游戏发热，其他还行,3
游戏方面不是很好，其他性能方面还可以,3
买给我男朋友的 目前还在用不知道好坏等过段时间了再来追评,3
刚收到，外观还可以，用过一段时间会追评,3
说的赠耳机，都一个礼拜了，还没收到,3
手机没问题，快递速度也挺快，就是不送货上门，让送货说没时间，就在小区门口说要推迟一天再送，各种理由。。,3
像素不太好，手感还可以，凑合用吧，买给老人的,3
手机整体还是完美，反应一般运行速度：新机都快,3
玩跑跑卡丁车手游会掉帧，必须开加速器才能玩。,3
刚开机，更新个应用就给我卡个10秒。,3
手机运行速度慢，还没有用了1年半的Z3快呢，外观可以,3
"主要是看中这手机185g,轻薄手感好，个别友商这个价位全是半斤机",3
1.充电器被用过，都被磨损了2.手机用起来还可以，跑分也还行,3
颜色好看，速度还是可以的，等用一段时候回来追加效果怎么样，保价时间太短，刚过保价第二天就降价，,3
比之前用的18年款的vivo z3整体体验还差了些,3
收到货了，有一个充电器，一个手机壳，一个手机，用着还行，不过好气哦，刚收到货就降价了,3
买给妈妈用的，不打游戏够用外形外观：看着这款手机挺好看的，运行速度：现在还是可以的拍照效果：还可以,3
拍照效果：没那么清楚外形外观：好看运行速度：还行买完之后就降价100元，大家谨慎购买，不过颜值很高，看一眼就很喜欢的那种,3
京东物流就是快，两天就能到，这在乡下非常难得，在京东上买东西非常方便，售后服务也不错，有问题都会耐心帮助解答，效率也高，很喜欢在京东上买东西。这个牌子的手机这个买，使用几天，一般般，反应不是很快。,3
外形：完美手感：略大，偏厚拍照：与实物差异大有变形，对相机要求较高者不建议购买屏幕：还行，千元机水平整体使用还好，备用机就还还好,3
赠品不实用,3
手机昨晚下单今天就收到了。但我觉得这手机没有其他买家说的那么好。拍照后面还可以，可前面拍照就感觉不行，仔细看有点模糊不怎么清晰。拿来日常用还是可以。毕竟手机比较便宜。,3
第一次买vivo手机。给我的感觉是什么呢？性能方面真的不怎么样。今天我住酒店可能是因为酒店位置稍微偏了一点。手机信号不好，但手机呢？打不出电话也接不到电话。我对这台手机真的有点无语。还有就是电池也不怎么耐用，我打开了的软件都已经清理过后台的了。如果我不是回家了，我肯定把它给退了。真的没有像其他买家说的那么好。哎，，,3
系统不是很友好，很多东西没有折中设置，续航在同机电池容量中算偏下一等(仅开4G的情况下)，但是物流超快，配送小哥的服务很好,3
这个价位的机子还是可以的,2
下单第四天下午才收到,3
没有赠品也没有配送耳机,3
手机很不错但是连个耳机都没有赠品没有就算了耳机是必备的吧？补发还得15个工作日真坑,3
才买了不到半个月，就降价100,3
快递员态度不好，超时送到,3
说好了的我的耳机还没发货了啊？,2
东西很好但没个耳机差,3
大王卡没用，还不能换赠品,2
降价好快啊，不到半个月降两百多?&zwj;♀?,3
手机导航有时候反应不过来,3
手机一般。反应速度不是很快！,3
买的时候说拍下送耳机，结果没送耳机,3
挺好的  补发了耳机?,3
手机视频对方经常听不到声音,2
前置摄像头视频一点都不清楚,3
买了还没一个月手机就有点发热,3
唉，买了不到一个月就降价了 还送耳机,3
外形外观：黑框厚了点，有点丑。,3
什么赠品都没有，在店里买还会送个耳机的。,3
手机后盖是什么材质的？,2
先说像素；如果达到1200w就很不错了，你宣传的4800w，虚头那么大。还不如我老婆几年前1200w的相机清晰。这都什么年代了你的手机后盖还是塑料材质。其他品牌的几百元就可以买到双面玻璃的。你这近1500元的手机后壳还是塑料材质，你不觉得太狠了点吗？做生意要有最起码的诚信，因为这样才能走的远。,3
怎么没有耳机送的了。我看其它都有。,3
手机有些小卡，网络不稳定,2
没注意看，现在厂家连耳机都不送了呢？,3
刚买完就送数据线。我这都没有数据线。,3
不送耳机和客服态度不好其余的都还行,3
还可以吧，使用时间不长，观察中,2
性能有些夸大，屏幕触控不是很赞,3
声音不行，太嘈杂了。电池续航可以,3
有点长，比较轻，照相一般般。,3
整体感觉一般化，物流速度也慢，性价比不高,2
没有送耳机，膜也没有，我之前买的啥都带着呢,3
才用了几天就出现了闪退的情况，其他的还行吧,3
刚买完1598.就降价1548.早知道不买这么早了,3
买的时候京东会员不送耳机，过两天成京东会员送耳机，服了,2
手机半月二次死机了变形了不是直的了,2
这个手机反应慢卡而且用着不流畅,2
送的东西没信了，手机卡的很运行也不流畅太差了！,3
手机还可以，就是一大堆垃圾软件,3
反应不怎么好，速度不怎么快，有点迟缓，,2
服务不是太满意，挺慢的,2
数据网打开有时候没有反应，要重启才可以,3
十几天就降价了    不爽,3
买来打游戏的，还一样的卡，能退货吗,3
说好的送耳机都没有送，手机还可以，都是送东西，她不送，说的送他不送,3
标配版居然没有耳机的，说的送结果十来天了都没消息,3
经常连接不上信号和数据的，体验不是很好,3
手机到了，耳机显示有送，到现在没有收到耳机,2
说的送耳机，耳机呢？,3
不太行  手机越来越卡,2
有些应用反应有点慢。,3
耳机怎么没有和手机一起邮寄过来？也不知道什么时候给？,2
手机吗，一般般，除了冲电气，什么都没有,2
什么东西都没送。网速有点慢。拍照效果不咋地。,2
购买的时候，有耳机和半年延保，结果就收到手机,2
一般 数据线有点儿特殊  不是通用那种建议买U1,3
屏幕不清晰，音质不好！,3
触屏不敏感，按1的总是弹2出来，网速慢，还是华为好,2
像素比较差，其余还好。,3
不是说送耳机吗 没送耳机呀。,3
额 不好意思 这款我看错了是要会员才有耳机送 手机试过了电量可以玩游戏也不卡顿比以前买的几款好多了,3
物流速度很快，但是说好送的耳机呢？我要放假回去了，手机到了，耳机没有。,2
耳机不送，差评,3
手机还是挺好看的，就是没有配送耳机，不知道以后会不会送。说是7-15天发货,3
手机拍照不是清楚，耳机都没有,3
官方旗舰店和官网有什么区别？？？为什么备件不一样呢？？？官网还送了背包和耳机呢？？,3
手机分辨率太低，像素不行，外观还行，外音喇叭声音不大,2
临时给家人买的，买的时候没送耳机，过二天后发现有送耳机的活动了，用起来一般吧,3
我只能说价格贵了两百亏死，除了没有耳机之外，运行速度还行,3
