评论,评分
耗电快，发热也快，即使开着省电模式，后台就一个浏览器一个~也一样。听习惯了双扬声器的就不要入手这个单杨了，其他就是手机反应也快，拍照也清晰希望官方优化一下耗电和发热,3
老爸说电池不抗用,3
待机时间：待机时间短，还不如用了两年的华为荣耀V20运行速度：运行速度一般屏幕音效：解锁不灵敏拍照效果：拍照还可以外形外观：外观中规中矩,3
声音不好听，别的用着看,3
还行,3
这分明就是一个广告接收器！,2
耗电太快,3
手机感觉像翻新的,2
其他方面还行，就是掉电严重，而且其他充电线也能快充，怕是假的吧,3
拍照不清晰。电池耗电快。,2
没有想像中那么好,2
居然没有说明书。用了快一个月了，除了电量掉的快，像素也就那样，锁屏黑屏时候，来信息没有指示灯提示。千元机要求也就这样了。,2
刚用不到20天，手机视频时屏幕会闪，像手机用啦很久一样。感觉品质一般。,2
用着还行，就是打电话经常听不到声音，客服说4g卡不能开5g的信号，不知道是不是糊弄我？别人的5g手机为啥就可以呢？,2
这手机反应太慢了，有时候还有点卡,3
差评，地址发错，外包装破损,2
买给老妈用的，其他方面都挺好，就是电量不够用，新手机一天都管不了，不是经常用手机那种，音量对于年纪大点的不够用,3
一般般,3
接收信号差,3
这个手机是不是别人用过！下载的歌都有,3
不建议购买，手机不行。,3
原装55瓦的充电器怎么是66瓦,3
快递到了不送，自己去拿的！,2
手机触屏反应迟钝,2
手机卡反应慢,2
电池耗电太快了，待机一夜掉了30个电,3
给我妈用的，贴的膜没有完全覆盖住屏幕，每次滑屏的时候总会刮手，手感很不好;而且没有传统下三点按键，老人用不习惯,3
手机音量太小了 真的超级超级小,3
不能投屏，连照片都投不了。照相太差，模糊不清晰,3
买贵了点，打游戏还是有点卡顿不够快！,3
手机性价比还是可以的，就是对老年人不是很友好,3
待机时间：不够长,3
不错不错,3
总体四个字，差强人意。扬声器声音不够大，可以说有点小，系统我感觉好垃圾。其他方面应该符合这个价位吧，希望能用久一点。,3
没有发票？,3
打~电话时间久了手机很烫还会强制性挂掉,3
此用户未填写评价内容,3
凑合用吧。本人不喜欢差评。但是他家是欺骗消费者的。买手机同时出现钢模后一起买了。免息期一下变成收息的。不是你家的膜为什么出现在你家。不是几十元的事。是一种欺客行为。,2
运行速度：一卡一卡的！待机时间：耗电快，其他特色：充电也快，外形外观：还行屏幕音效：凑活着用！拍照效果：拍照不错挺好！,3
一般吧，不是很满意。当个备用手机,3
一天3充电，掉电厉害,2
手机一般了，送的包也忒难看了,2
首先是价格波动，建议大家超过1299不要买其次外放的时候，加大声音手机振动厉害，音质也不怎么地，不知道是不是漏音还是啥最后，费电是真的,2
帮别人买的，希望能好吧！看着网红评价还是不错的，就是实际没用过,3
好久没用京东了，突然回来用一下使用感受是真的差，招呼不打一声就降价，好的虽然能申请价保，但是申请的和降价的截然不同，要不是手机拆封了直接退回去去淘宝买了，搞的花里胡哨的恶心人,2
玩原神老是闪退耗电也有点快不怎么好,2
这个一千多的价位就不错了呵呵 屏幕不是太亮,3
还行吧,3
产品质量一般般！外观色彩还是可以的？不过我已经退货了！用不习惯,3
打游戏什么的还行，但是玩盖MC中的闪退，我是无语,3
照相不清晰,3
手机整体感觉不合心意。1、电池用电比较快不够用，怀疑电池参数不实。2、手机屏幕对眼睛?伤害比较大，建议不要买来给小孩用3、图片中全部清除如果在屏幕的中心下面会好点，有时候点清除容易点到软件推送的通知4、手机像素不行，虽然有6400万像素但它不能自己聚焦，拍的照片容易模糊我感觉这款手机就是一款最低配手机，如果价格在1200元内还是不错的,3
物流服务真的太差了，特别是快递员,3
骗人的，收到货的型号和订单型号不一样咨询客服还给拖拖拉拉不解决,2
在这家买东西，真感觉像吃了苍蝇一样恶心 ！发错货，还拖拖拉拉的不解决,2
感觉二手机,3
勉强吧,3
还行吧,3
充电是挺快的，玩游戏是真不行。,3
性能跟z1比起来还是有点差距的,3
玩游戏还行挺顺但用网络时好时坏,3
自动关机，从新开机开了5.6次,2
~视频跳蓝屏，一闪一闪的蓝屏，家里大人不会重装~和下载，还被骂了一顿说买个假的骗老子，照相是好的，太气人了,2
耳朵都不送一个,2
此用户未填写评价内容,2
运行速度：不够快，很一般，买没多久降到1299元，不给补差价。差评。,3
一般,3
充电快 耗电也很快 待机八个小时耗电百分之五一天可能要充两次电 其他的挺好,3
买了几天就掉价了,3
别的还好就是电池一点都不耐用  一天一冲   还没我的旧手机电耐用,2
像素非常非常一般，其它功能都一般等等。一分钱一分货。,3
耗电比较快！比我旧手机Z5用啦两年的还要快的多！我也不打游戏！,3
使用了一段时间，感觉还不错。只是收到货就降价格，太不厚道,3
刚买半个月就降价了,3
还可以,3
手机用了一段时间，总体来说很一般，也许是和价钱有关系，听歌音质还不错，打游戏就不行了，王者荣耀的画面感很差，总会有颜色一闪一闪的，~聊天打字总有时候按不出来，运行也是慢，就是因为我用了五年的手机运行慢我才换的，结果这个手机一样运行慢，点开个软件慢吞吞的才打开，像素还行，也就听歌还过得去,3
给母亲买的手机，母亲的旧手机屏幕彻底破裂，就这样用了半年都没跟我说。这手机还可以，就是屏幕技术还差点,3
下载王者进不去，卡顿，不是说打游戏快嘛 。,3
