评论,评分
这vivo iQOO Z3手机就是这么棒，用到1099都拿到了，是看图视屏拿的。就想体验一个orgingOS系统，确实没让我失望，骁龙768勉强够用，打王者够了已经，用两个月等着出iQOO9买iQOO9，这千元机当主力机毕竟没面子，反正就是特别的棒！1699的手机我1519就买到了，是真的棒，用起来确实很新颖，用烦了苹果和安卓原生的，真的可以来试一试这个系统，清新有趣。再加上55W的快充，基本上可以告别充电宝了。游戏模式功能丰富，120Hz的屏幕确实流畅很多，有些丝滑的感觉，处理器够用，再加上首发送的一套快充和耳机这手机就是这么棒，就想体验一个orgingOS系统，骁龙768勉强够用，打王者够了已经，性能与性价比并存商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算，自营的物流让人非常惊喜。新的系统非常流畅，音质也不错，还配有3.5接口。运行媒体呀播放音乐。游戏都非常流畅。存储也没有任何的卡顿，拍照非常的清晰。夜景模式的时候非常的棒。Vivo终于从音质手机变成了画质手机的蜕变。所幸的，是它的音质没有太大的下降，而拍照的,5
新手机终于到了，虽然它从出生地到东北逛了一圈才回来，哈哈?。儿子说这个打游戏的好用，也相信vivo品牌，它是东莞的骄傲呀。拍个8+256够大，够好玩了吧玩吧，外观一流，55w的快充嗖一下就满了，赞！手机拍照很清晰,5
手机特别好看，和男朋友一起买的情侣手机，他买黑色的，我买银色的，从不一样的角度看出不一样的颜色，太好看了，像素也特别好，手机颜值也特别高，还送了一个5g的卡，一个耳机特别棒。耳机带上不会掉隔音，效果特别好。,5
外观设计漂亮，星云高档绚丽，像一道彩虹美丽无限，竞速屏图像柔和清晰，8+256g流畅不卡顿，非常满意，尺寸大小合适，包装仔细完整，宝贝手感也不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！,5
外形外观：这是我买的第二台iQOOZ3，星云的外观一如既往的好看?屏幕音效：120hz高刷屏率还不错，音效跟以前一样好呐，视频至臻特效很不错(*?&acute;╰╯`?)?拍照效果：前置摄像头1600万像素照出你的美，后置6400w摄像头拍照很不错，照片很清晰，很好看，这款手机自带照片高清修复功能，可以修复以前的照片，这个功能真的很好！！超广角也还可以，微距照植物很美！！待机时间：待机时间：正常使用手机，正常玩，差不多20多个小时才需要充电，电池还是蛮不错的，充电从5%到100%，大概45分钟左右。运行速度：骁龙786还是很流畅的，12g足够日常工作，生活使用??其他特色：其他特色：相比同价位的手机，iQOOZ3性价比很高了，尤其是12+256g的星云?,5
这手机性价比超值，处理器也比较高像素也很高，让妈妈多拍照，留住美好的瞬屏幕刷新率也很nice，颜色选的深空，背面渐变色，有浅到深很好看，不同年龄男女都可以用体验了一把游戏，游戏体验太爽了整体是非常不错的购物体验，比心,5
收到物流很快，包装严实，18年买了vivo z1，用到现在很好用，所以今年又选择z3，12，256G，外观也挺美的，试用了几天运行速度很快，音效与拍照效果也很好，充电速度非常快，待机时间长，满意五星。已收藏本店。,5
很好，给孩子买的，运行速度很快，origin os 界面很美观，用起来也很方便，快捷键也比较人性化，分辨率很高，清晰，充电速度很快，55W的充电器速度飞快！赞?,5
外形外观：颜色鲜艳，背面光哲满亮。屏幕音效：音质清西，声音很大。拍照效果：6400万像素摄像头真不是盖的。跟我的索尼相机一个级别了。运行速度：6g大运行。王者荣耀，吃鸡流畅运行 。待机时间：100%的电，可以玩一天游戏。其他特色：手机屏幕很大。适合看电影。,5
外形外观：外形外观：妈妈的手机突然坏了，着急用手机，肯定首选京东啊，正好赶上直播间波活动，又是现货，先定下再说。 外观打孔屏，还可以。用起来不会特别膈应，大部分时间都忽略了他的存在。运行速度：运行速度贼快，完全感受不到这是联发科，发热的情况还没遇到，不知道怎么样，妈妈也不玩儿游戏。待机时间：基本一天一充，妈妈下班回家还有3-40的电量，而快充又很快，睡前就充满了。这充电头大的，我都觉得是100w的。数据线也很扎实，一看就是7牌子的。屏幕音效：屏幕显示很细腻，开了护眼模式非常舒服，打孔的附近也没有乱七八糟的颜色出现。,5
