评论,评分
此用户未填写评价内容,1
外形外观：这个手机真的差，最大音量很小声音质也差。卡托拔出真费劲。指纹识别在右侧很不习惯，运行速度也不见得很流畅,1
我刚买7天你就降价200块钱,1
谁买谁知道，才20天已经出现滑屏不流畅和卡死现象,1
总断网，不管换了什么电话卡都一样 有的时候wifi也断 请大家不要购买 我买的是iqoo   z3,1
玩有些游戏不能全屏，配置识别不了，售后给出答复不满意。,1
换货一回了，我想知道尾插口就这样吗，都有缺口,1
玩游戏闪退，不是偶尔，非常频繁，垃圾！,1
垃圾，游戏掉帧我就不说了，而且闪退，闪退，狂闪退！没法玩了，还游戏手机呢，没想到这么垃圾！！！！！！！！！！！！！！！,1
此用户未及时填写评价内容,1
不知道没什么，每次回家，连接WIFI的时候都要关机重启才能连上，什么破手机这么麻烦。以前用别的手机，速度都很快的。,1
质量太差了，维修也麻烦,1
门店的东西太歪了,1
反应比较慢   然后就是有时候网页会打不开,1
购买几天就降价,1
垃圾,1
没耳机,1
手机喇叭有点杂音，其它都还可以,1
这电话很差劲 接电话有延迟  使用网络也慢 同一地点使用 之前的手机就不会出现这种情况,1
通话有回音，换货中,1
听筒不好，有时贴在耳朵上都听不见,1
网络不好，老是断网，垃圾手机，大家不要上当受骗了，,1
反应慢  连无线网网速慢不如Y66,1
买回来就修了2次了一个月12天主板就坏了，声音全无，真的卡好了1个月的换货时间了不知道是不是通病，其他人要买的时候注意点真的差评，十分不省心，不如以前用的其他牌子,1
快递自己去拿的，不送！,1
很少评价，以后再遇到这种情况我就拒收申请退款,1
不知道手机出啥问题了，充电贼慢，十分钟百分之二。,1
用了20几天就坏了，垃圾手机。希望大家谨慎购买。,1
系统还可以 但是耗电太快  待机都不持久,1
未电话联系直接丢站点，出了问题找谁处理，垃圾服务,1
此用户未及时填写评价内容,1
这就是个老年机！！！那么多好评从哪来的？？？,1
差评给京东客服，发货慢，多次联系客服，多次都是半个多小时没人理，京东客服厉害哦,1
卡槽出不来，轻轻弄也出不来,1
手机看视频声音乌拉乌拉的,1
没有介绍的那么好，电池不耐用，一颗星给快递,1
到货比较慢,1
买时2300大洋，买后7天降到1890仔细品吧！签收保价7天后就不能申请保价服务，沟通客服之后返回150元！这商家真把客户当傻子！京东又让我失望了一次！用***的一句话&ldquo;兄弟们，让客户充当傻白甜路子能长久吗？&rdquo;网日网购无数，仅两次差评！商家耗子尾汁！,1
此用户未填写评价内容,1
耗电量太大，客服服务差，很失望,1
用了一个多月   手机喇叭就坏了,1
买后几天就掉价，还不给补差价。,1
此用户未及时填写评价内容,1
信号真是差劲，同一个房间，手机信号是无服务，别人手机是满格的，你这手机是怎么做到的啊，无服务让我怎么去买东西支付，真是***太尴尬了，这还不是一次两次的，往后vivo我是拉黑了，本来不想评价的，弄得真是生气,1
刚买回来还是很开心的，结果用了几天体验过很不好，打吃鸡半天了就充进去几格电，还不如我原来的x21。,1
此用户未填写评价内容,1
手机反应慢啊，也不知道什么原因。比原来的荣耀慢,1
辣鸡，既然给三期免息了还天天打电话催，玩不起就不要给三期免息,1
再京东买的第3台了，为什么同样的订单，两个人买的，一个送线，一个不送啊！是不是感觉我买的太多了，赠品没有了啊,1
手机一般，效果不是太好,1
昨天刚收到货，今天就降价一百。申请价保退70。说好的保价呢？！！真伤心,1
评价完才明白当时用了30的券，所以退70。抱歉，联系客服改不了评论只能追评了。抱歉。,1
辣鸡手机，用了不到一个月，反应慢屏幕划不动。,1
卖家发货速度真的是太慢了，我不敢恭维，手机还行，快递还行，最起码比卖家快,1
有一说一手机是不错，就是这个系统真的是****，微信支付每次都要点知道了，还**的不能关，我知道**呢！,1
有一说一比乐色低配高价的华为好用很多，家里非常喜欢，这是我第二次买vivo的手机，用他嘎嘎香，王者也不错，我打王者耗电低,1
快递真垃圾，直接丢保安室地下电话也不打一个！,1
3号购买，11号才发货，13号到手，真的太累了，店家说好的八号前发货，结果一拖再拖太难了。。。真心不好的一次购物,1
此用户未填写评价内容,1
原装耳机怎么跟手机上的耳机孔不配呢？一点阻力都没有。感觉小了一圈。而且要用手指使劲的压住才有声音，手指累了一松，声音就没有了。,1
手机真的差，刚用七八天就开始卡顿，触摸不灵，还特别卡，本来买个千把块钱的手机要求不高，但是你也不能这么过分才用七八天就这样，服了，让售后退款，说过了时间，好，那我换货，还要大半个月，服了，有这1800买个小米不香嘛！！！！！！！,1
尽管钢化膜碎了，我还是给你个好评！碎了就丢了。,1
"手机有bug,系统偶尔会卡，屏幕有偶尔会没有反应，不灵敏只有充电可以！",1
买贵了。。。才买几天看到别的平台8+128跟我6+128一个价！！哎。。。。,1
才刚刚买来一个月不到，电话接听不到，一天几十个电话打不进来，手机最重要的功能都有问题还买它有什么用，让去线下售后，去了售后说是手机没问题，手机卡问题，去营业厅换了手机卡还是接听不到电话，天天推着责任，磨磨唧唧的都多少天了，不能解决问题，简直太垃圾了,1
不知道大家买回去开~视频声音有没有很小的感觉，比如给孩子奶奶视频，孩子站奶奶身后说话就听不见，奶奶对手机说话才听清楚，用荣耀或者华为就不会，只要手机在一个房间旁边人在同个房间说话都是能听清的，问客服一直跟我扯距离问题，声音大小问题，呵～我当然是听不清的情况下比较过才发现这种问题的，当然也是第一次买vivo系列的手机，也是最后一次买了，这个牌子只是广告打的响而已,1
屏幕上有几个手指印，可能是别人退货再销售的,1
此用户未填写评价内容,1
用了俩月手机死机了，屏目锁打不开了,1
手机发热的很,1
信号太差，经常没信号，别的还好。5G直接E.好多次了，不换了累。,1
手机用了一周后开始卡顿，和大部分游戏不兼容。进游戏很慢，比之前用的骁龙710还慢。搞不过前几代处理器？要么系统有问题，毕竟新的系统做的很差。千万别看跑分之类的，都是手机温度低的时候跑着还行。正真使用的时候就知道了。稍微发热就卡顿得很。无语了,1
手机很好   六星好评  这是溢出来的那颗送给京东物流的,1
此用户未及时填写评价内容,1
手机垃圾的很都不能正常使用在也不会买这个品牌了。,1
才买来用了三个月左右，现在充电手机就开始发烫电池也用不了一天,1
***就是垃圾，卧槽，网卡的跟狗一样，,1
每次上一****不一样！这次上当是这个Z3的屏幕真差，比我的荣耀V20差远了，甚至比vivo的Z5x都差！iqoo竟敢用淘汰的屏幕来生产手机，这是要砸牌子啊，买手机的差这点钱吗？,1
此用户未填写评价内容,1
反应不灵敏 非常差劲 电量?不耐用想买的人建议加钱换别的吧 一会一个广告一会一个广告 一会清理手机 太难用了 最主要的是价格 千万不要买 因为随时会变来变去 价格极其不稳定 找客服补差也是态度恶劣强硬 总之不要买这种垃圾机器谁买谁后悔,1
严重差评！用了几天太卡了！有时候还会卡死机！,1
