评论,评分
手机到货  第一时间感受了一下  外形 手感 确实满分 轻薄  重量轻 拿在手里质感很好 新的系统也不错  比以前的vivo系统有质地飞跃  蔡司合作研发  影像系统完美  当然手机不是十全十美  续航是个问题  好在并不怎么玩游戏  也可以接受,5
外形外观：外形可以说很漂亮，真的是非常轻薄，手感也非常不错屏幕音效：屏幕显示效果细腻，三星屏确实优秀，而且120HZ的刷新率很是强大，音效因为是单扬声器只能说一般吧，但配上耳机不错拍照效果：拍照效果可以说真的很强，有蔡司镜头认证，效果惊艳，尤其是夜景太强大运行速度：猎户座1080处理器不错，很强大，加上大内存和特有技术，运行速度很快，希望能多用几年待机时间：待机时间试了一下，半个掉了1%，3个小时6%，不是中度游戏着应该够用,5
x50已发布就关注了，手机终于到手，手感不错，液氧男女都可以用，4200mah的大电池配合高通756G处理器，超大的显示器，配合超窄的边框，让视频画面瞬间输出整个屏幕，画质清晰，拍照效果很好，很是喜欢，而且我们都是vivo粉噢，从Y11，x6plus，x20，x23，vivoNEX还有几个型号忘记了，到现在的x50，简直是vivo大家族了,5
手机好好看，拍照功能强大，夜景功能很惊艳呀！很喜欢手机背壳的设计，一点都不会粘指纹，微光的挺不错?。,5
看欧洲杯直播的时候，看见X60的广告，在京东上看了下，果断给老婆买了一个，第二天就送到了。老婆很喜欢，设计很合理，手感很好，像素超级好，尤其是夜景效果杠杠的，运行速度很快，待机时间时间挺长的，以后继续支持京东自营商品。,5
大品牌，不负盛名，网络秒连，网速快，图像色彩明丽，字迹清晰，音响效果好，最佩服的是拍照惊艳，蔡司光学镜头，可媲美顶级手机，物美价廉，大众首选！,5
物流真的好快，中午拍第二天就收到了，618活动买的，原力色非常好看，使用后电池耐用玩游戏不卡，拍照效果好，之前用的VivoX9好久了，这次换上手机了，家里第二部这个牌子手机了，无论设计跟质量都非常好。,5
蛮好的，手机，运行速度快，运行速度快。像素很好，照像特别清楚，我买回来就是为来放在车上留导航用的。,5
包装完好无损，配送速度非常快，手机颜值很高，很薄，拿在手里很轻，手感非常好，激活后，大概试用一下，触屏很灵敏，4800万的像素，拍出的照片清晰度高，扬声器音质也是非常不错的，至于待机时间，新手机还需一段时间后才可知晓，家里人的手机一直都是京东购买，踏实放心，价格也合理，足不出户方便快捷，很满意的一次购物，X60你值得拥有！,5
手机很不错，满意。外形轻薄，颜色好看，手感可以。操作流畅，开机初始化即可用互换工具一键移机，功能设置人性化，体验不错。试了拍照功能，还不错。充电很快45分钟以内可以从40%充满。618活动价格优惠。总之性价比不错。,5
期待了很久的新手机终于到了，选的是液氧色，好看，而且属于那种越看越好看的哈哈哈，女孩子都喜欢颜值高的手机，这款手机好看手感又好，然后长时间使用也不会发烫，之前的手机玩半天就烫手了哈哈！这个充电也挺快的，屏幕大小刚好，开机速度很快，滑屏非常流畅，一点也不会卡，像素非常好还加了防抖功能，再也不怕拍照不稳了，对喜欢拍照的女孩子来说绝了，手机音质也不错，这个价格是值得的，这次购物体验感奶思~,5
给家人买的，一直用安卓手机，之前的太旧了，终于下决心更换了。正好vivo出了X60手机，感觉样子很好看，轻薄颜值高，和蔡司合作，本来就照相很好，这下小蓝标加持，更上台阶，家人很喜欢。手机用起来很快，8核不是盖的，5G上网嗖嗖的，网速太快，我还是用wifi吧，哈哈哈哈,5
手机很漂亮，京豆618购买的，便宜百来块，配送很快。运行速度很快，不卡，功能设计很强大，搞明白后使用很顺手。好用。正常使用不会很烫，就是正常温度。充电时会有的烫，手机充满大概一直运行可以用个10个小时左右，还行吧。充电挺快。,5
趁着618活动，下单的手机。总体非常满意。外形外观：三个颜色中纠结，最后下单华彩。颜色非常亮，阳光下更闪。拍照效果：拍照果然不一般，专业拍照效果，防抖功能。,5
做工精致，买的原力色，背面很丝滑，颜色是黑色透着蓝绿色的光，非常漂亮。操作顺滑流畅，很喜欢vivo推出的新系统，桌面看上去大气现代，而且使用的时候也觉得很有趣。声音清澈，听着也很舒服。拍照清晰，画面处理很自然，色彩也不浮夸。正常使用一天没问题。出厂已贴膜，唯一不喜欢的就是自带的硬保护壳。总体来看，性价比超高，值得购买。,5
618给老婆大人买的，效果还不错，程序运行、切换都比较的流畅，上网速度也快。这也是第一次使用vivo的手机，它的拍照功能是最初吸引我们的地方，配的蔡司镜头。拍了几张照片确实很棒，细节很丰富，景深的应用在拍人物时也很不错。个人觉得略有遗憾之处是色彩方面还需提高。,5
"手机外观好看，厚度合适,拍照效果非常清晰，电池很够用，充电还算快，通音质很好，带耳机更好，运行我感觉挺快的，屏幕显示非常清晰，新系统也非常人性化,体验非常好，物流挺快的。",5
"外形非常惊艳，薄且漂亮,拍照效果非常好，前后都好，充电非常快，发货很快，客服非常耐心、细心和专业，推荐来京东购买",5
种草很久耐心等到618买的，没白等，优惠一些还赠了耳机，手机很流畅，简单用了会儿，就是爽，这是头一次用vivo手机感觉也很不错，拍照功能很不错,5
手机外包装高大上，很有质感，拆开后比预想的还要好，机身薄，屏幕很大，照相清晰，老人用很满意，颜色也很时尚，不是那种死黑，微云台功能确实很强大，手抖着拍也不会花而且还很清晰总之就是很满意，大家要有想买的就赶紧入手吧，相信我，你值得拥有！,5
屏幕音效：好得很拍照效果：效果没得说，很清晰，很舒服，好手机,5
我买了x60p，也给老公换新机～x60也算是性价比比较高的一台～华彩很漂亮～拍照一流～！！系统也比较稳定流畅～推荐！??,5
总体不错，值得购买，物流挺快的，三天左右就到了，客服服务态度也可以,5
爹地中意，手机够靓！快递够快！！老人家正学习中?,5
我第一次用vivo以前用的是平果手机，我用了二十多天才评价的，vivox60手机很好用，也很流畅。就是广告太多很烦人，不像平果 手机广告的东西要少的很多，总的来说vivox60还是挺不错的。,5
好评,5
还不错的一款手机，OV一直是高价低配的代表，三千块只能买上一年的直面屏手机，整体说高端也不见得说低端也不至于。凑合用先,5
很不错，很好用。下次也支持,5
拍照效果：用了几天挺好用的，电池能用一天,5
刚买的还在用,5
太喜欢了，本来一年换一个手机，但是从王牌对王牌中见到它，就超喜欢，果断放弃一年换一个手机的想法，买了这款高，大，尚，的手机，太喜欢了。,5
