评论,评分
已收到，先好评，随后详评。,5
这款手机颜值高，性能好，价格又低，非常适合大众消费。8G的运行，一般人基本上能满足。120Hz的屏幕刷新率，一般游戏基本不会卡顿。CPU是高通骁龙768，知名品牌。6400万后置像素，1600万前置像素，拍出的照片非常清晰。55万闪充充电器，充电速度非常快。????,5
手机外观漂亮，手感舒适。游戏速度很快，电池耐用。,5
使用起来还不错，续航给力，充电快，性价比很高,5
y我用的很好，很开心?，,5
给老公买的，他觉得还不错，玩游戏不卡！！！！,5
很好用,5
对比了同等价位的手机，最后选择了这款，收到货以后，第一时间打开体验一下，发现真的很棒，外观是我喜欢的款式，拍照也非常清晰，总之性价比很高哦??????，京东自营店购买，质量有保障。,5
运行速度：对我看看视频看看小说来说没任何问题待机时间：充满电用一天时间吧拍照效果：拍照效果还行吧屏幕音效：屏幕也还好外形外观：没感觉有什么特别的其他特色：充电时间挺快，一小时充满电。,5
还可以吧,5
质量非常好，外观设计非常好看，软件运行非常流畅，触摸屏幕非常好，参数配置非常高，非常不错一款的手机，发货和配送速度非常快，喜欢。,5
这已经是我在京东买的第三部vivo手机，感觉很好用，拍照像素很好，也很清晰，支持国产，我不买苹果，硬件软件都很好，很流畅，也不卡，我觉得手机是越来越好，而且价格也不高，适合普工家庭，物流的速度很快，包的很好，快递小哥也很给力，希望活动力度更大，支持国产手机?，还是支持国产手机,5
家人之前用的手机不行了，换手机买了这款，颜值很高，性价比也很强，充电速度非常快，也是终于给家里换上5G手机了，iQOO这几年发展的很不错，期待以后的产品,5
手机真的很好用，又快又流畅，玩游戏一点也不卡顿，画质清晰，音质响亮。外观漂亮，手感好，拍照清晰还自带美颜效果，好喜欢。送给孩子的礼物孩子很喜欢。京东的电子产品值得信赖，物流又快又方便，很赞很赞，非常喜欢这款手机。,5
618搞活动  果断下单  好东西物美价廉  性价比高的 1299的手机  买来送老人  很喜欢  拆机中  手机人机工程做的不错  拿到手手感很舒适  缝隙比较小 不用担心灰尘  送的原装耳机  耳机音效不错  5G手机 55w充电很快  不用担心用电量  一小时冲满  对于老人够用,5
声音好听，配置好，拍照效果好，速度快，打游戏一点也不卡，我很喜欢,5
手机一周前就收到了，给妈妈买的，搭载骁龙768g处理器功耗较低，日常使用流畅不卡顿，侧边指纹解锁很快，外观漂亮，很喜欢星云这个配色，我自己用的是iQOO neo 5，感觉z3和neo5运行的流畅度是差不多的，日常工作使用完全够了，这个价位这种配置，总体来说还是挺不错的外形外观：个人比较喜欢星云运行速度：很快，没有出现卡顿待机时间：充电快，耗电相对较慢，日常完全够用拍照效果：还蛮不错的，清晰,5
